Tempo,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12
137.14,-210.3,70.38,-1.8,13.52,7.67,9.21,-4.23,3.85,-2.07,0.92,1.15,4.82,-9.83,7.54,-1.52,-1.89,-1.38,3.48,-4.36,2.35,0.47,0.18,0.33,0.34,0.41,0.43,0.2,0.17,0.26,0.54,0.42,0.45
96.0,-321.79,105.26,16.3,33.23,11.2,28.95,12.95,16.3,2.92,-3.84,-0.02,10.07,2.83,5.64,-1.84,-5.04,-21.46,-6.78,4.12,13.68,0.39,0.5,0.55,0.59,0.41,0.38,0.27,0.22,0.09,0.05,0.12,0.25
174.55,-216.06,88.31,-8.95,41.89,18.97,7.79,-2.24,5.94,0.0,5.36,2.07,2.31,-6.3,4.57,0.84,4.87,-9.8,-3.5,-7.39,9.04,0.36,0.15,0.25,0.21,0.44,0.21,0.09,0.18,0.31,0.67,0.4,0.53
49.23,-185.45,85.01,-8.47,3.75,-17.62,6.1,-14.41,-8.74,-7.15,-6.04,-8.91,1.6,-8.59,-12.23,-19.68,-14.86,-17.45,-12.35,-4.25,11.48,0.11,0.15,0.24,0.5,0.53,0.2,0.26,0.09,0.14,0.17,0.31,0.33
120.0,-209.14,69.0,30.2,31.84,14.17,22.39,5.16,12.23,0.63,7.08,-5.1,6.1,-0.77,3.32,-3.15,7.89,1.77,-1.0,-7.99,-5.15,0.59,0.1,0.03,0.06,0.12,0.22,0.23,0.18,0.17,0.17,0.43,0.82
160.0,-294.11,107.12,36.37,12.41,12.85,14.14,-3.92,7.78,1.88,6.42,-4.59,2.14,-6.57,2.97,2.88,5.32,-4.26,4.12,-7.21,4.92,0.42,0.35,0.33,0.41,0.7,0.35,0.21,0.25,0.35,0.45,0.57,0.62
96.0,-327.21,100.29,5.65,24.91,4.47,0.93,8.19,5.44,-7.77,-3.78,-3.15,-3.76,-7.5,0.77,-1.32,0.94,-3.81,-5.95,-13.48,-4.28,0.27,0.35,0.27,0.16,0.23,0.2,0.28,0.39,0.4,0.69,0.35,0.27
64.0,-179.08,70.17,20.85,20.74,4.36,4.25,-6.07,-1.87,-10.39,-3.93,-8.97,-7.98,-7.15,-0.92,-8.75,-5.26,-2.11,2.98,-5.65,-0.17,0.52,0.14,0.04,0.06,0.25,0.45,0.17,0.17,0.11,0.09,0.08,0.28
87.27,-255.85,71.39,17.0,27.32,-5.9,12.18,-3.18,5.21,-10.38,-3.96,-8.6,-3.24,-7.51,-1.39,-8.44,-6.08,-7.39,-5.21,-9.86,-9.25,0.58,0.29,0.06,0.04,0.07,0.15,0.15,0.26,0.19,0.22,0.4,0.49
106.67,-165.15,69.34,0.62,26.35,2.09,13.02,2.31,9.03,-8.82,-3.28,-6.59,1.79,-1.32,2.45,-8.94,-4.97,-9.21,-5.44,-13.93,-6.22,0.24,0.19,0.28,0.09,0.23,0.36,0.62,0.76,0.3,0.22,0.36,0.3
91.43,-286.37,79.83,9.38,3.57,-4.51,10.76,3.67,0.07,-6.29,7.53,-1.84,8.53,-13.46,0.51,-5.75,-6.16,0.86,-1.72,-6.72,-0.06,0.1,0.12,0.34,0.42,0.66,0.24,0.11,0.13,0.18,0.11,0.32,0.44
128.0,-142.16,95.27,-11.89,29.02,-6.25,10.12,-1.23,4.9,0.68,-1.58,-1.72,-0.95,-4.34,0.59,-5.65,-6.28,-5.61,-1.95,-6.74,4.21,0.29,0.23,0.3,0.38,0.34,0.52,0.4,0.18,0.23,0.36,0.5,0.53
112.94,-222.53,70.45,6.83,40.29,9.38,12.13,-2.52,5.12,2.09,5.96,-2.59,7.74,1.13,-3.45,-12.85,-1.69,-4.16,0.75,-7.23,-2.48,0.66,0.4,0.51,0.45,0.42,0.25,0.32,0.34,0.27,0.38,0.39,0.43
